	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08455|urtB|urea	urea ABC transporter permease subunit UrtB	927	20	0.0	93.0	4	C:GO:0005886; C:GO:0016021; F:GO:0022857; P:GO:0055085	C:plasma membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport			IPR017779 (TIGRFAM); IPR001851 (PFAM); PTHR11795:SF447 (PANTHER); PTHR11795 (PANTHER); cd06582 (CDD)	C:GO:0016021; F:GO:0022857; P:GO:0055085	C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08460|urtC|urea	urea ABC transporter permease subunit UrtC	1269	20	0.0	90.13	4	C:GO:0005886; C:GO:0016021; F:GO:0022857; P:GO:0055085	C:plasma membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport			IPR001851 (PFAM); IPR017778 (TIGRFAM); mobidb-lite (MOBIDB_LITE); PTHR30482 (PANTHER); IPR017778 (PTHR30482:PANTHER); cd06581 (CDD)	C:GO:0016021; F:GO:0022857; P:GO:0055085	C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08465|urtD|urea	urea ABC transporter ATP-binding protein UrtD	750	20	1.1273E-170	94.88	2	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATPase activity	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase	IPR003593 (SMART); IPR017781 (TIGRFAM); G3DSA:3.40.50.300 (GENE3D); IPR032823 (PFAM); IPR003439 (PFAM); PTHR45772:SF8 (PANTHER); PTHR45772 (PANTHER); IPR003439 (PROSITE_PROFILES); cd03219 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATPase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08470|urtE|urea	urea ABC transporter ATP-binding subunit UrtE	690	20	4.96344E-142	93.08	2	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATPase activity	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase	IPR003593 (SMART); G3DSA:3.40.50.300 (GENE3D); IPR017780 (TIGRFAM); IPR003439 (PFAM); IPR017780 (PTHR43820:PANTHER); PTHR43820 (PANTHER); IPR003439 (PROSITE_PROFILES); cd03224 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATPase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08475||acetamidase/formamidase	acetamidase/formamidase family protein	1230	20	0.0	94.03	1	F:GO:0004328	F:formamidase activity	EC:3.5.1.49	Formamidase	IPR004304 (PFAM); G3DSA:2.60.120.580 (GENE3D); IPR004304 (PANTHER); PTHR31891:SF8 (PANTHER); SSF141130 (SUPERFAMILY)	F:GO:0016811	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
true	[INTERPRO, BLASTED]	EQU24_RS08480||formamidase	formamidase	393	20	3.50912E-92	74.24						IPR013429 (SMART); IPR013429 (PFAM); IPR013429 (TIGRFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08485||hydrogenase	hydrogenase maturation protease	510	20	2.91844E-122	84.16	4	P:GO:0006508; F:GO:0008047; F:GO:0008233; P:GO:0043085	P:proteolysis; F:enzyme activator activity; F:peptidase activity; P:positive regulation of catalytic activity			IPR000671 (TIGRFAM); IPR023430 (G3DSA:3.40.50.GENE3D); PTHR30302:SF5 (PANTHER); IPR000671 (PANTHER); cd06066 (CDD); IPR023430 (SUPERFAMILY)	F:GO:0008047; F:GO:0008233	F:enzyme activator activity; F:peptidase activity
true	[INTERPRO, BLASTED, MAPPED]	EQU24_RS08490||hypothetical	hypothetical protein	198	20	1.29952E-40	75.77	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08495||alpha/beta	alpha/beta hydrolase	957	20	0.0	78.32	2	C:GO:0016020; F:GO:0016787	C:membrane; F:hydrolase activity			IPR029058 (G3DSA:3.40.50.GENE3D); IPR022742 (PFAM); PTHR12277:SF81 (PANTHER); PTHR12277 (PANTHER); IPR029058 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08500|cobO|cob(I)yrinic	cob(I)yrinic acid a,c-diamide adenosyltransferase	537	20	5.22017E-130	94.1	5	F:GO:0005524; C:GO:0005737; P:GO:0006779; F:GO:0008817; P:GO:0009236	F:ATP binding; C:cytoplasm; P:porphyrin-containing compound biosynthetic process; F:cob(I)yrinic acid a,c-diamide adenosyltransferase activity; P:cobalamin biosynthetic process	EC:2.5.1.17	Cob(I)yrinic acid a,c-diamide adenosyltransferase	IPR003724 (PIRSF); IPR003724 (PFAM); G3DSA:3.40.50.300 (GENE3D); IPR003724 (TIGRFAM); PTHR46638 (PANTHER); IPR003724 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0005524; F:GO:0008817; P:GO:0009236	F:ATP binding; F:cob(I)yrinic acid a,c-diamide adenosyltransferase activity; P:cobalamin biosynthetic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08505||hypothetical	MULTISPECIES: hypothetical protein	366	20	1.29425E-54	84.58	1	C:GO:0016021	C:integral component of membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08510||aminotransferase	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	1224	20	0.0	85.26	5	F:GO:0008483; F:GO:0008710; P:GO:0009058; F:GO:0016874; F:GO:0030170	F:transaminase activity; F:8-amino-7-oxononanoate synthase activity; P:biosynthetic process; F:ligase activity; F:pyridoxal phosphate binding	EC:2.3.1.47	8-amino-7-oxononanoate synthase	IPR004839 (PFAM); IPR015421 (G3DSA:3.40.640.GENE3D); IPR015422 (G3DSA:3.90.1150.GENE3D); PTHR13693 (PANTHER); IPR015424 (SUPERFAMILY)	F:GO:0003824; P:GO:0009058; F:GO:0030170	F:catalytic activity; P:biosynthetic process; F:pyridoxal phosphate binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08515||NAD-dependent	NAD-dependent epimerase/dehydratase family protein	942	20	0.0	86.12	2	F:GO:0003824; F:GO:0050662	F:catalytic activity; F:coenzyme binding			G3DSA:3.40.50.720 (GENE3D); IPR001509 (PFAM); PTHR42687 (PANTHER); PTHR42687:SF1 (PANTHER); IPR036291 (SUPERFAMILY)	F:GO:0003824; F:GO:0050662	F:catalytic activity; F:coenzyme binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08520||hypothetical	DUF47 family protein	214	20	2.55336E-30	84.75	3	F:GO:0008168; C:GO:0016021; P:GO:0032259	F:methyltransferase activity; C:integral component of membrane; P:methylation			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08525||two-component	two-component system response regulator	1116	20	0.0	82.26	2	P:GO:0000160; F:GO:0016787	P:phosphorelay signal transduction system; F:hydrolase activity			IPR003607 (SMART); IPR001789 (SMART); G3DSA:3.40.50.2300 (GENE3D); IPR006674 (PFAM); IPR001789 (PFAM); G3DSA:1.10.3210.10 (GENE3D); PTHR45228 (PANTHER); PTHR45228:SF5 (PANTHER); IPR001789 (PROSITE_PROFILES); IPR037522 (PROSITE_PROFILES); IPR001789 (CDD); IPR003607 (CDD); SSF109604 (SUPERFAMILY); IPR011006 (SUPERFAMILY)	P:GO:0000160	P:phosphorelay signal transduction system
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08530||PAS	PAS domain S-box protein	4755	20	0.0	70.31	5	F:GO:0000155; P:GO:0000160; F:GO:0005515; C:GO:0016021; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:protein binding; C:integral component of membrane; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase	IPR004358 (PRINTS); IPR008207 (SMART); IPR003661 (SMART); IPR000014 (SMART); IPR001610 (SMART); IPR006189 (SMART); IPR003594 (SMART); IPR001789 (SMART); IPR006189 (PFAM); IPR013655 (PFAM); IPR001789 (PFAM); G3DSA:3.40.50.2300 (GENE3D); IPR013656 (PFAM); G3DSA:3.30.450.20 (GENE3D); G3DSA:3.30.450.20 (GENE3D); G3DSA:3.30.450.350 (GENE3D); IPR003594 (PFAM); IPR003661 (PFAM); G3DSA:1.10.287.130 (GENE3D); G3DSA:2.10.70.100 (GENE3D); IPR000014 (PFAM); G3DSA:3.30.450.20 (GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); IPR036641 (G3DSA:1.20.120.GENE3D); IPR000014 (TIGRFAM); IPR008207 (PFAM); G3DSA:3.30.450.20 (GENE3D); G3DSA:3.30.450.20 (GENE3D); PTHR43719 (PANTHER); IPR000700 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR008207 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR006189 (PROSITE_PROFILES); IPR005467 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); cd16922 (CDD); IPR000014 (CDD); IPR000014 (CDD); IPR008207 (CDD); IPR001789 (CDD); IPR003661 (CDD); IPR000014 (CDD); IPR000014 (CDD); IPR036097 (SUPERFAMILY); IPR036890 (SUPERFAMILY); IPR011006 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR036641 (SUPERFAMILY)	F:GO:0000155; P:GO:0000160; F:GO:0005515; P:GO:0007165; P:GO:0016310; F:GO:0016772	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:protein binding; P:signal transduction; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups
true	[INTERPRO, BLASTED]	EQU24_RS08535||hypothetical	hypothetical protein	546	20	6.52824E-133	67.36						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08540||PAS	PAS domain-containing protein	2994	20	0.0	78.97	7	F:GO:0000156; P:GO:0000160; C:GO:0005737; P:GO:0006935; F:GO:0008757; F:GO:0008984; P:GO:0032259	F:phosphorelay response regulator activity; P:phosphorelay signal transduction system; C:cytoplasm; P:chemotaxis; F:S-adenosylmethionine-dependent methyltransferase activity; F:protein-glutamate methylesterase activity; P:methylation	EC:3.1.1.61; EC:3.1.1.1	Protein-glutamate methylesterase; Carboxylesterase	IPR000780 (PRINTS); IPR000780 (SMART); IPR022641 (PFAM); IPR035909 (G3DSA:3.40.50.GENE3D); PF13596 (PFAM); G3DSA:3.30.450.20 (GENE3D); IPR036804 (G3DSA:1.10.155.GENE3D); IPR013656 (PFAM); IPR022642 (PFAM); G3DSA:3.40.50.150 (GENE3D); IPR000673 (PFAM); G3DSA:3.30.450.20 (GENE3D); PTHR24422:SF17 (PANTHER); PTHR24422 (PANTHER); IPR000780 (PROSITE_PROFILES); IPR000673 (PROSITE_PROFILES); cd16434 (CDD); IPR000014 (CDD); IPR029063 (SUPERFAMILY); IPR035965 (SUPERFAMILY); SSF47757 (SUPERFAMILY); IPR035909 (SUPERFAMILY); IPR035965 (SUPERFAMILY)	F:GO:0000156; P:GO:0000160; C:GO:0005737; P:GO:0006935; F:GO:0008757; F:GO:0008984	F:phosphorelay response regulator activity; P:phosphorelay signal transduction system; C:cytoplasm; P:chemotaxis; F:S-adenosylmethionine-dependent methyltransferase activity; F:protein-glutamate methylesterase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08545||EAL	EAL domain-containing protein	3546	20	0.0	71.99	3	F:GO:0005515; P:GO:0006355; F:GO:0052621	F:protein binding; P:regulation of transcription, DNA-templated; F:diguanylate cyclase activity	EC:2.7.7.65	Diguanylate cyclase	IPR000014 (SMART); IPR003018 (SMART); IPR001610 (SMART); IPR000160 (SMART); IPR001633 (SMART); G3DSA:3.30.450.20 (GENE3D); IPR003018 (PFAM); IPR013767 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR035919 (G3DSA:3.20.20.GENE3D); G3DSA:3.30.450.20 (GENE3D); IPR000160 (PFAM); G3DSA:3.30.450.20 (GENE3D); IPR013656 (PFAM); IPR029016 (G3DSA:3.30.450.GENE3D); IPR000014 (TIGRFAM); IPR000014 (PFAM); IPR001633 (PFAM); IPR000160 (TIGRFAM); PTHR46663:SF1 (PANTHER); PTHR46663 (PANTHER); IPR000014 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR001633 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000014 (CDD); IPR000160 (CDD); IPR000014 (CDD); IPR001633 (CDD); IPR000014 (CDD); IPR035965 (SUPERFAMILY); IPR035919 (SUPERFAMILY); IPR029787 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); SSF55781 (SUPERFAMILY)	F:GO:0005515; P:GO:0006355	F:protein binding; P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08550||response	response regulator	597	20	2.30877E-141	74.84	2	P:GO:0000160; F:GO:0003723	P:phosphorelay signal transduction system; F:RNA binding			IPR005561 (SMART); IPR001789 (SMART); G3DSA:3.40.50.2300 (GENE3D); IPR005561 (PFAM); IPR001789 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR008327 (PIRSF); PTHR43367 (PANTHER); PTHR43367:SF1 (PANTHER); IPR005561 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR001789 (CDD); IPR011006 (SUPERFAMILY)	P:GO:0000160; F:GO:0003723	P:phosphorelay signal transduction system; F:RNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08555||hypothetical	PAS domain S-box protein	1578	20	0.0	67.13	2	F:GO:0005515; C:GO:0016021	F:protein binding; C:integral component of membrane			IPR013655 (PFAM); G3DSA:3.30.450.20 (GENE3D); G3DSA:3.30.450.20 (GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); IPR011495 (PFAM); PTHR43065 (PANTHER); PTHR43065:SF21 (PANTHER); IPR000014 (CDD); IPR000014 (CDD); cd00075 (CDD); IPR036890 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08560||EAL	EAL domain-containing protein	1740	20	0.0	78.0	1	P:GO:0006355	P:regulation of transcription, DNA-templated			IPR000160 (SMART); IPR001633 (SMART); IPR000014 (SMART); IPR000014 (PFAM); IPR000160 (PFAM); IPR035919 (G3DSA:3.20.20.GENE3D); G3DSA:3.30.450.20 (GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000160 (TIGRFAM); IPR001633 (PFAM); IPR000014 (TIGRFAM); mobidb-lite (MOBIDB_LITE); PTHR44757:SF2 (PANTHER); PTHR44757 (PANTHER); IPR001633 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000160 (CDD); IPR000014 (CDD); IPR001633 (CDD); IPR035919 (SUPERFAMILY); IPR029787 (SUPERFAMILY); IPR035965 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08565||AAA	AAA family ATPase	2400	20	0.0	87.91	5	F:GO:0004176; F:GO:0004252; F:GO:0005524; P:GO:0006508; P:GO:0030163	F:ATP-dependent peptidase activity; F:serine-type endopeptidase activity; F:ATP binding; P:proteolysis; P:protein catabolic process	EC:3.4.21; EC:3.6.1.3; EC:3.6.1.15	Acting on peptide bonds (peptidases); Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase	PR00830 (PRINTS); G3DSA:3.40.50.300 (GENE3D); IPR014721 (G3DSA:3.30.230.GENE3D); IPR008269 (PFAM); IPR041699 (PFAM); G3DSA:1.10.8.60 (GENE3D); IPR027065 (PANTHER); PTHR10046:SF46 (PANTHER); IPR008269 (PROSITE_PROFILES); IPR020568 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	F:GO:0004176; F:GO:0004252; F:GO:0005524; P:GO:0006508; P:GO:0030163	F:ATP-dependent peptidase activity; F:serine-type endopeptidase activity; F:ATP binding; P:proteolysis; P:protein catabolic process
true	[INTERPRO, BLASTED]	EQU24_RS08570||hypothetical	universal stress protein	792	20	8.55647E-176	64.16						G3DSA:3.40.50.12370 (GENE3D); IPR014729 (G3DSA:3.40.50.GENE3D); SSF52402 (SUPERFAMILY); SSF52402 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08575||hypothetical	DUF47 family protein	209	20	1.78266E-22	80.99	1	C:GO:0016020	C:membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08580||efflux	efflux RND transporter permease subunit	3156	20	0.0	87.0	3	C:GO:0016021; F:GO:0022857; P:GO:0055085	C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport			IPR001036 (PRINTS); IPR027463 (G3DSA:3.30.2090.GENE3D); G3DSA:3.30.70.1320 (GENE3D); G3DSA:1.20.1640.10 (GENE3D); G3DSA:3.30.70.1440 (GENE3D); IPR027463 (G3DSA:3.30.2090.GENE3D); G3DSA:3.30.70.1430 (GENE3D); G3DSA:3.30.70.1430 (GENE3D); IPR001036 (PFAM); G3DSA:1.20.1640.10 (GENE3D); IPR001036 (PANTHER); PTHR32063:SF33 (PANTHER); cd18260 (CDD); IPR027463 (SUPERFAMILY); SSF82866 (SUPERFAMILY); SSF82693 (SUPERFAMILY); SSF82866 (SUPERFAMILY); IPR027463 (SUPERFAMILY); SSF82693 (SUPERFAMILY)	C:GO:0016020; F:GO:0022857; P:GO:0055085	C:membrane; F:transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08585||efflux	efflux RND transporter periplasmic adaptor subunit	1209	20	0.0	82.57	3	C:GO:0016021; F:GO:0022857; P:GO:0055085	C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport			PF13437 (PFAM); G3DSA:1.10.287.470 (GENE3D); G3DSA:2.40.420.20 (GENE3D); G3DSA:2.40.50.100 (GENE3D); IPR006143 (TIGRFAM); G3DSA:2.40.30.170 (GENE3D); PTHR30469 (PANTHER); SSF111369 (SUPERFAMILY)	C:GO:0016020; F:GO:0022857; P:GO:0055085	C:membrane; F:transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08590||efflux	efflux transporter outer membrane subunit	1398	20	0.0	81.84	5	C:GO:0005886; C:GO:0009279; F:GO:0015562; C:GO:0016021; P:GO:0055085	C:plasma membrane; C:cell outer membrane; F:efflux transmembrane transporter activity; C:integral component of membrane; P:transmembrane transport			IPR010131 (TIGRFAM); IPR003423 (PFAM); G3DSA:2.20.200.10 (GENE3D); G3DSA:1.20.1600.10 (GENE3D); PTHR30203:SF16 (PANTHER); PTHR30203 (PANTHER); PS51257 (PROSITE_PROFILES); SSF56954 (SUPERFAMILY)	F:GO:0015562; C:GO:0016020; F:GO:0022857; P:GO:0055085	F:efflux transmembrane transporter activity; C:membrane; F:transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08595||TetR/AcrR	CerR family C-terminal domain-containing protein	672	20	2.06039E-164	84.76	1	F:GO:0003677	F:DNA binding			IPR001647 (PRINTS); IPR001647 (PFAM); G3DSA:1.10.357.10 (GENE3D); IPR015292 (PFAM); PTHR30055 (PANTHER); IPR001647 (PROSITE_PROFILES); IPR036271 (SUPERFAMILY); IPR009057 (SUPERFAMILY)	F:GO:0003677	F:DNA binding
true	[INTERPRO, BLASTED]	EQU24_RS08600||hypothetical	rhodanese-like domain-containing protein	211	20	2.60062E-23	89.6						mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS08605||DUF1249	DUF1249 domain-containing protein	453	20	2.38538E-107	80.12						IPR009659 (PFAM); IPR009659 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08610||6-carboxytetrahydropterin	6-carboxytetrahydropterin synthase	405	20	6.64256E-97	93.36	3	P:GO:0008616; F:GO:0046872; F:GO:0070497	P:queuosine biosynthetic process; F:metal ion binding; F:6-carboxy-5,6,7,8-tetrahydropterin synthase activity	EC:4.1.2.50	6-carboxytetrahydropterin synthase	IPR007115 (PFAM); IPR007115 (PIRSF); IPR038418 (G3DSA:3.30.479.GENE3D); IPR007115 (PANTHER); SSF55620 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08615||PilZ	PilZ domain-containing protein	300	20	5.45747E-67	88.6	1	F:GO:0035438	F:cyclic-di-GMP binding			G3DSA:2.40.10.220 (GENE3D); IPR009875 (PFAM); SSF141371 (SUPERFAMILY)	F:GO:0035438	F:cyclic-di-GMP binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08620||tryptophan--tRNA	tryptophan--tRNA ligase	1017	20	0.0	96.46	4	F:GO:0004830; F:GO:0005524; C:GO:0005737; P:GO:0006436	F:tryptophan-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:tryptophanyl-tRNA aminoacylation	EC:6.1.1.2	Tryptophan--tRNA ligase	IPR002306 (PRINTS); IPR014729 (G3DSA:3.40.50.GENE3D); IPR002305 (PFAM); G3DSA:1.10.240.10 (GENE3D); IPR002306 (TIGRFAM); PTHR43766:SF2 (PANTHER); PTHR43766 (PANTHER); IPR024109 (HAMAP); IPR002306 (CDD); SSF52374 (SUPERFAMILY)	F:GO:0000166; F:GO:0004812; F:GO:0004830; F:GO:0005524; P:GO:0006418; P:GO:0006436	F:nucleotide binding; F:aminoacyl-tRNA ligase activity; F:tryptophan-tRNA ligase activity; F:ATP binding; P:tRNA aminoacylation for protein translation; P:tryptophanyl-tRNA aminoacylation
true	[INTERPRO, BLASTED]	EQU24_RS08625||hypothetical	hypothetical protein	240	20	1.4867E-50	66.93						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08630|dnaB|replicative	replicative DNA helicase	1395	20	0.0	96.15	6	F:GO:0003677; F:GO:0003678; F:GO:0005524; P:GO:0006269; P:GO:0032508; C:GO:1990077	F:DNA binding; F:DNA helicase activity; F:ATP binding; P:DNA replication, synthesis of RNA primer; P:DNA duplex unwinding; C:primosome complex	EC:3.6.1.3; EC:3.6.4.12; EC:3.6.1.15	Adenosinetriphosphatase; DNA helicase; Nucleoside-triphosphate phosphatase	IPR003593 (SMART); IPR016136 (G3DSA:1.10.860.GENE3D); G3DSA:3.40.50.300 (GENE3D); IPR007693 (PFAM); IPR007694 (PFAM); IPR007692 (TIGRFAM); PTHR30153 (PANTHER); IPR007694 (PROSITE_PROFILES); IPR007694 (CDD); IPR027417 (SUPERFAMILY); IPR036185 (SUPERFAMILY)	F:GO:0003677; F:GO:0003678; F:GO:0005524; P:GO:0006260	F:DNA binding; F:DNA helicase activity; F:ATP binding; P:DNA replication
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08635|alr|alanine	alanine racemase	1077	20	0.0	85.61	3	F:GO:0008784; F:GO:0030170; P:GO:0030632	F:alanine racemase activity; F:pyridoxal phosphate binding; P:D-alanine biosynthetic process	EC:5.1.1.1; EC:5.1.1.10	Alanine racemase; Amino-acid racemase	IPR000821 (PRINTS); IPR011079 (SMART); IPR000821 (TIGRFAM); IPR001608 (PFAM); IPR029066 (G3DSA:3.20.20.GENE3D); IPR009006 (G3DSA:2.40.37.GENE3D); IPR011079 (PFAM); PTHR30511:SF4 (PANTHER); PTHR30511 (PANTHER); IPR000821 (HAMAP); cd06827 (CDD); IPR029066 (SUPERFAMILY); IPR009006 (SUPERFAMILY)	F:GO:0003824; P:GO:0006522; F:GO:0008784	F:catalytic activity; P:alanine metabolic process; F:alanine racemase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08640||response	response regulator transcription factor	426	20	8.64405E-97	70.24	1	F:GO:0003677	F:DNA binding			G3DSA:3.40.50.12740 (GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08645|moeB|molybdopterin-synthase	molybdopterin-synthase adenylyltransferase MoeB	744	20	5.37054E-166	91.06	2	F:GO:0008641; F:GO:0016779	F:ubiquitin-like modifier activating enzyme activity; F:nucleotidyltransferase activity			IPR000594 (PFAM); G3DSA:3.40.50.720 (GENE3D); PTHR10953 (PANTHER); PTHR10953:SF102 (PANTHER); cd00757 (CDD); IPR035985 (SUPERFAMILY)	F:GO:0008641	F:ubiquitin-like modifier activating enzyme activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08650|groS|co-chaperone	co-chaperone GroES	288	20	1.08708E-58	97.13	3	F:GO:0005524; C:GO:0005737; P:GO:0006457	F:ATP binding; C:cytoplasm; P:protein folding			IPR020818 (PRINTS); IPR020818 (SMART); IPR037124 (G3DSA:2.30.33.GENE3D); IPR020818 (PFAM); PTHR10772:SF24 (PANTHER); IPR020818 (PANTHER); IPR020818 (HAMAP); IPR020818 (CDD); IPR011032 (SUPERFAMILY)	P:GO:0006457	P:protein folding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS08655|groL|chaperonin	chaperonin GroEL	1659	20	0.0	97.04	4	F:GO:0005524; C:GO:0005737; P:GO:0042026; F:GO:0051082	F:ATP binding; C:cytoplasm; P:protein refolding; F:unfolded protein binding			IPR001844 (PRINTS); IPR027409 (G3DSA:3.50.7.GENE3D); IPR002423 (PFAM); IPR001844 (TIGRFAM); IPR027413 (G3DSA:1.10.560.GENE3D); IPR027410 (G3DSA:3.30.260.GENE3D); PTHR45633 (PANTHER); PTHR45633:SF3 (PANTHER); IPR001844 (HAMAP); IPR001844 (CDD); IPR027410 (SUPERFAMILY); IPR027409 (SUPERFAMILY); IPR027413 (SUPERFAMILY)	F:GO:0005524; P:GO:0042026	F:ATP binding; P:protein refolding
true	[INTERPRO, BLASTED]	EQU24_RS08660||transcriptional	transcriptional regulator	255	20	1.07273E-54	82.33						IPR009778 (PFAM); IPR038626 (G3DSA:2.30.30.GENE3D); IPR023534 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	EQU24_RS08665||host	host attachment protein	414	20	3.14236E-96	75.09	3	F:GO:0003674; C:GO:0005575; P:GO:0008150	F:molecular_function; C:cellular_component; P:biological_process			IPR019291 (PFAM)	no GO terms	no GO terms
